MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000078,Bexley 014,E09000004,Bexley,255,23,9.00%,6.10%,13.20%,,248,54,21.80%,17.10%,27.30%,,,,,,,,,
E02000079,Bexley 015,E09000004,Bexley,265,26,9.80%,6.80%,14.00%,,197,25,12.70%,8.70%,18.10%,,,,,,,,,
E02000080,Bexley 016,E09000004,Bexley,311,38,12.20%,9.00%,16.30%,,304,78,25.70%,21.10%,30.80%,,,,,,,,,
E02000081,Bexley 017,E09000004,Bexley,264,27,10.20%,7.10%,14.50%,,223,61,27.40%,21.90%,33.60%,,,,,,,,,
E02000082,Bexley 018,E09000004,Bexley,285,25,8.80%,6.00%,12.60%,,280,62,22.10%,17.70%,27.40%,,,,,,,,,
E02000083,Bexley 019,E09000004,Bexley,397,41,10.30%,7.70%,13.70%,,326,60,18.40%,14.60%,23.00%,,,,,,,,,
E02000084,Bexley 020,E09000004,Bexley,344,32,9.30%,6.70%,12.80%,,263,41,15.60%,11.70%,20.50%,,,,,,,,,
E02000085,Bexley 021,E09000004,Bexley,280,34,12.10%,8.80%,16.50%,,198,39,19.70%,14.80%,25.80%,,,,,,,,,
E02000086,Bexley 022,E09000004,Bexley,225,17,7.60%,4.80%,11.80%,,215,44,20.50%,15.60%,26.40%,,,,,,,,,
E02000087,Bexley 023,E09000004,Bexley,212,19,9.00%,5.80%,13.60%,,223,32,14.30%,10.40%,19.60%,,,,,,,,,
E02000088,Bexley 024,E09000004,Bexley,250,25,10.00%,6.90%,14.30%,,115,24,20.90%,14.40%,29.20%,,,,,,,,,
E02000089,Bexley 025,E09000004,Bexley,244,20,8.20%,5.40%,12.30%,,261,47,18.00%,13.80%,23.10%,,,,,,,,,
E02000090,Bexley 026,E09000004,Bexley,249,27,10.80%,7.60%,15.30%,,152,24,15.80%,10.80%,22.40%,,,,,,,,,
E02000091,Bexley 027,E09000004,Bexley,268,26,9.70%,6.70%,13.80%,,221,46,20.80%,16.00%,26.60%,,,,,,,,,
E02000092,Bexley 028,E09000004,Bexley,264,44,16.70%,12.70%,21.60%,,202,57,28.20%,22.50%,34.80%,,,,,,,,,
