MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000383,Hammersmith and Fulham 012,E09000013,Hammersmith and Fulham,126,19,15.10%,9.90%,22.40%,,112,35,31.30%,23.40%,40.30%,,,,,,,,,
E02000384,Hammersmith and Fulham 013,E09000013,Hammersmith and Fulham,148,18,12.20%,7.80%,18.40%,,185,41,22.20%,16.80%,28.70%,,,,,,,,,
E02000385,Hammersmith and Fulham 014,E09000013,Hammersmith and Fulham,64,s,s,s,s,,54,10,18.50%,10.40%,30.80%,,,,,,,,,
E02000386,Hammersmith and Fulham 015,E09000013,Hammersmith and Fulham,238,20,8.40%,5.50%,12.60%,,207,54,26.10%,20.60%,32.50%,,,,,,,,,
E02000387,Hammersmith and Fulham 016,E09000013,Hammersmith and Fulham,119,14,11.80%,7.10%,18.80%,,129,29,22.50%,16.10%,30.40%,,,,,,,,,
E02000388,Hammersmith and Fulham 017,E09000013,Hammersmith and Fulham,118,10,8.50%,4.70%,14.90%,,89,17,19.10%,12.30%,28.50%,,,,,,,,,
E02000389,Hammersmith and Fulham 018,E09000013,Hammersmith and Fulham,157,17,10.80%,6.90%,16.70%,,90,13,14.40%,8.60%,23.20%,,,,,,,,,
E02000390,Hammersmith and Fulham 019,E09000013,Hammersmith and Fulham,104,8,7.70%,3.90%,14.40%,,95,21,22.10%,14.90%,31.40%,,,,,,,,,
E02000391,Hammersmith and Fulham 020,E09000013,Hammersmith and Fulham,73,9,12.30%,6.60%,21.80%,,66,17,25.80%,16.70%,37.40%,,,,,,,,,
E02000392,Hammersmith and Fulham 021,E09000013,Hammersmith and Fulham,141,19,13.50%,8.80%,20.10%,,140,36,25.70%,19.20%,33.50%,,,,,,,,,
E02000393,Hammersmith and Fulham 022,E09000013,Hammersmith and Fulham,72,9,12.50%,6.70%,22.10%,,52,s,s,s,s,,,,,,,,,
E02000394,Hammersmith and Fulham 023,E09000013,Hammersmith and Fulham,182,25,13.70%,9.50%,19.50%,,151,42,27.80%,21.30%,35.40%,,,,,,,,,
E02000395,Hammersmith and Fulham 024,E09000013,Hammersmith and Fulham,53,s,s,s,s,,29,s,s,s,s,,,,,,,,,
E02000396,Hammersmith and Fulham 025,E09000013,Hammersmith and Fulham,180,25,13.90%,9.60%,19.70%,,126,33,26.20%,19.30%,34.50%,,,,,,,,,
E02000397,Haringey 001,E09000014,Haringey,238,31,13.00%,9.30%,17.90%,,171,37,21.60%,16.10%,28.40%,,,,,,,,,
E02000398,Haringey 002,E09000014,Haringey,325,65,20.00%,16.00%,24.70%,,276,74,26.80%,21.90%,32.30%,,,,,,,,,
E02000400,Haringey 004,E09000014,Haringey,270,17,6.30%,4.00%,9.90%,,239,50,20.90%,16.20%,26.50%,,,,,,,,,
E02000401,Haringey 005,E09000014,Haringey,230,37,16.10%,11.90%,21.40%,,269,68,25.30%,20.50%,30.80%,,,,,,,,,
E02000402,Haringey 006,E09000014,Haringey,265,43,16.20%,12.30%,21.10%,,284,81,28.50%,23.60%,34.00%,,,,,,,,,
E02000403,Haringey 007,E09000014,Haringey,214,25,11.70%,8.00%,16.70%,,124,28,22.60%,16.10%,30.70%,,,,,,,,,
E02000404,Haringey 008,E09000014,Haringey,252,31,12.30%,8.80%,16.90%,,225,54,24.00%,18.90%,30.00%,,,,,,,,,
E02000405,Haringey 009,E09000014,Haringey,230,11,4.80%,2.70%,8.40%,,193,19,9.80%,6.40%,14.90%,,,,,,,,,
E02000406,Haringey 010,E09000014,Haringey,221,32,14.50%,10.40%,19.70%,,175,61,34.90%,28.20%,42.20%,,,,,,,,,
E02000407,Haringey 011,E09000014,Haringey,344,50,14.50%,11.20%,18.70%,,242,69,28.50%,23.20%,34.50%,,,,,,,,,
E02000408,Haringey 012,E09000014,Haringey,369,58,15.70%,12.40%,19.80%,,296,83,28.00%,23.20%,33.40%,,,,,,,,,
E02000409,Haringey 013,E09000014,Haringey,200,34,17.00%,12.40%,22.80%,,223,66,29.60%,24.00%,35.90%,,,,,,,,,
E02000410,Haringey 014,E09000014,Haringey,191,s,s,s,s,,196,14,7.10%,4.30%,11.60%,,,,,,,,,
E02000411,Haringey 015,E09000014,Haringey,330,57,17.30%,13.60%,21.70%,,311,92,29.60%,24.80%,34.90%,,,,,,,,,
E02000412,Haringey 016,E09000014,Haringey,181,25,13.80%,9.50%,19.60%,,151,41,27.20%,20.70%,34.70%,,,,,,,,,
E02000413,Haringey 017,E09000014,Haringey,327,17,5.20%,3.30%,8.20%,,304,32,10.50%,7.60%,14.50%,,,,,,,,,
E02000414,Haringey 018,E09000014,Haringey,231,35,15.20%,11.10%,20.30%,,212,51,24.10%,18.80%,30.20%,,,,,,,,,
E02000415,Haringey 019,E09000014,Haringey,212,23,10.80%,7.30%,15.80%,,157,35,22.30%,16.50%,29.40%,,,,,,,,,
E02000416,Haringey 020,E09000014,Haringey,213,18,8.50%,5.40%,13.00%,,208,40,19.20%,14.50%,25.10%,,,,,,,,,
E02000417,Haringey 021,E09000014,Haringey,141,s,s,s,s,,130,11,8.50%,4.80%,14.50%,,,,,,,,,
E02000418,Haringey 022,E09000014,Haringey,181,7,3.90%,1.90%,7.80%,,139,19,13.70%,8.90%,20.40%,,,,,,,,,
E02000419,Haringey 023,E09000014,Haringey,222,21,9.50%,6.30%,14.00%,,136,27,19.90%,14.00%,27.30%,,,,,,,,,
E02000420,Haringey 024,E09000014,Haringey,250,39,15.60%,11.60%,20.60%,,179,56,31.30%,24.90%,38.40%,,,,,,,,,
E02000421,Haringey 025,E09000014,Haringey,254,31,12.20%,8.70%,16.80%,,214,56,26.20%,20.70%,32.40%,,,,,,,,,
E02000422,Haringey 026,E09000014,Haringey,263,28,10.60%,7.50%,15.00%,,239,67,28.00%,22.70%,34.00%,,,,,,,,,
E02000423,Haringey 027,E09000014,Haringey,171,20,11.70%,7.70%,17.40%,,98,26,26.50%,18.80%,36.00%,,,,,,,,,
E02000424,Haringey 028,E09000014,Haringey,206,11,5.30%,3.00%,9.30%,,170,20,11.80%,7.70%,17.50%,,,,,,,,,
E02000425,Haringey 029,E09000014,Haringey,135,18,13.30%,8.60%,20.10%,,131,31,23.70%,17.20%,31.60%,,,,,,,,,
E02000426,Haringey 030,E09000014,Haringey,149,7,4.70%,2.30%,9.40%,,97,14,14.40%,8.80%,22.80%,,,,,,,,,
E02000427,Haringey 031,E09000014,Haringey,203,12,5.90%,3.40%,10.00%,,141,42,29.80%,22.90%,37.80%,,,,,,,,,
E02000428,Haringey 032,E09000014,Haringey,250,25,10.00%,6.90%,14.30%,,223,74,33.20%,27.30%,39.60%,,,,,,,,,
E02000429,Haringey 033,E09000014,Haringey,187,6,3.20%,1.50%,6.80%,,100,8,8.00%,4.10%,15.00%,,,,,,,,,
E02000430,Haringey 034,E09000014,Haringey,196,6,3.10%,1.40%,6.50%,,128,17,13.30%,8.50%,20.20%,,,,,,,,,
E02000431,Haringey 035,E09000014,Haringey,109,s,s,s,s,,69,9,13.00%,7.00%,23.00%,,,,,,,,,
E02000432,Haringey 036,E09000014,Haringey,142,10,7.00%,3.90%,12.50%,,128,31,24.20%,17.60%,32.30%,,,,,,,,,
E02006794,Haringey 037,E09000014,Haringey,350,51,14.60%,11.30%,18.70%,,288,98,34.00%,28.80%,39.70%,,,,,,,,,
E02000433,Harrow 001,E09000015,Harrow,128,13,10.20%,6.00%,16.60%,,117,16,13.70%,8.60%,21.10%,,,,,,,,,
E02000434,Harrow 002,E09000015,Harrow,234,32,13.70%,9.90%,18.70%,,197,41,20.80%,15.70%,27.00%,,,,,,,,,
E02000435,Harrow 003,E09000015,Harrow,200,19,9.50%,6.20%,14.40%,,197,35,17.80%,13.10%,23.70%,,,,,,,,,
E02000436,Harrow 004,E09000015,Harrow,133,9,6.80%,3.60%,12.40%,,113,24,21.20%,14.70%,29.70%,,,,,,,,,
E02000437,Harrow 005,E09000015,Harrow,270,29,10.70%,7.60%,15.00%,,225,41,18.20%,13.70%,23.80%,,,,,,,,,
E02000438,Harrow 006,E09000015,Harrow,218,25,11.50%,7.90%,16.40%,,204,50,24.50%,19.10%,30.80%,,,,,,,,,
E02000439,Harrow 007,E09000015,Harrow,330,37,11.20%,8.20%,15.10%,,210,47,22.40%,17.30%,28.50%,,,,,,,,,
E02000440,Harrow 008,E09000015,Harrow,300,21,7.00%,4.60%,10.50%,,295,50,16.90%,13.10%,21.60%,,,,,,,,,
E02000441,Harrow 009,E09000015,Harrow,152,14,9.20%,5.60%,14.90%,,150,21,14.00%,9.30%,20.50%,,,,,,,,,
E02000442,Harrow 010,E09000015,Harrow,316,36,11.40%,8.30%,15.40%,,274,63,23.00%,18.40%,28.30%,,,,,,,,,
E02000443,Harrow 011,E09000015,Harrow,376,42,11.20%,8.40%,14.80%,,304,70,23.00%,18.60%,28.10%,,,,,,,,,
E02000444,Harrow 012,E09000015,Harrow,288,27,9.40%,6.50%,13.30%,,259,48,18.50%,14.30%,23.70%,,,,,,,,,
E02000445,Harrow 013,E09000015,Harrow,428,54,12.60%,9.80%,16.10%,,316,84,26.60%,22.00%,31.70%,,,,,,,,,
E02000447,Harrow 015,E09000015,Harrow,196,12,6.10%,3.50%,10.40%,,175,34,19.40%,14.20%,25.90%,,,,,,,,,
E02000448,Harrow 016,E09000015,Harrow,174,17,9.80%,6.20%,15.10%,,144,22,15.30%,10.30%,22.00%,,,,,,,,,
E02000449,Harrow 017,E09000015,Harrow,268,28,10.40%,7.30%,14.70%,,265,60,22.60%,18.00%,28.10%,,,,,,,,,
E02000451,Harrow 019,E09000015,Harrow,166,9,5.40%,2.90%,10.00%,,169,26,15.40%,10.70%,21.60%,,,,,,,,,
E02000452,Harrow 020,E09000015,Harrow,309,28,9.10%,6.30%,12.80%,,207,36,17.40%,12.80%,23.10%,,,,,,,,,
E02000453,Harrow 021,E09000015,Harrow,225,18,8.00%,5.10%,12.30%,,190,39,20.50%,15.40%,26.80%,,,,,,,,,
E02000454,Harrow 022,E09000015,Harrow,284,16,5.60%,3.50%,9.00%,,180,24,13.30%,9.10%,19.10%,,,,,,,,,
E02000455,Harrow 023,E09000015,Harrow,230,27,11.70%,8.20%,16.50%,,134,31,23.10%,16.80%,31.00%,,,,,,,,,
E02000456,Harrow 024,E09000015,Harrow,201,14,7.00%,4.20%,11.40%,,179,37,20.70%,15.40%,27.20%,,,,,,,,,
E02000457,Harrow 025,E09000015,Harrow,189,12,6.30%,3.70%,10.80%,,175,33,18.90%,13.80%,25.30%,,,,,,,,,
E02000459,Harrow 027,E09000015,Harrow,336,41,12.20%,9.10%,16.10%,,239,66,27.60%,22.30%,33.60%,,,,,,,,,
E02000460,Harrow 028,E09000015,Harrow,268,21,7.80%,5.20%,11.70%,,240,49,20.40%,15.80%,26.00%,,,,,,,,,
E02000461,Harrow 029,E09000015,Harrow,146,13,8.90%,5.30%,14.60%,,94,21,22.30%,15.10%,31.80%,,,,,,,,,
E02000462,Harrow 030,E09000015,Harrow,229,23,10.00%,6.80%,14.60%,,203,50,24.60%,19.20%,31.00%,,,,,,,,,
E02000463,Harrow 031,E09000015,Harrow,309,26,8.40%,5.80%,12.00%,,296,57,19.30%,15.20%,24.10%,,,,,,,,,
E02006795,Harrow 032,E09000015,Harrow,313,20,6.40%,4.20%,9.70%,,279,51,18.30%,14.20%,23.20%,,,,,,,,,
E02006882,Harrow 033,E09000015,Harrow,429,49,11.40%,8.70%,14.80%,,360,78,21.70%,17.70%,26.20%,,,,,,,,,
E02000464,Havering 001,E09000016,Havering,256,31,12.10%,8.70%,16.70%,,242,57,23.60%,18.60%,29.30%,,,,,,,,,
E02000465,Havering 002,E09000016,Havering,324,39,12.00%,8.90%,16.00%,,261,53,20.30%,15.90%,25.60%,,,,,,,,,
E02000466,Havering 003,E09000016,Havering,339,32,9.40%,6.80%,13.00%,,269,59,21.90%,17.40%,27.30%,,,,,,,,,
E02000467,Havering 004,E09000016,Havering,461,73,15.80%,12.80%,19.40%,,405,96,23.70%,19.80%,28.10%,,,,,,,,,
E02000468,Havering 005,E09000016,Havering,296,28,9.50%,6.60%,13.30%,,265,61,23.00%,18.40%,28.50%,,,,,,,,,
E02000469,Havering 006,E09000016,Havering,266,29,10.90%,7.70%,15.20%,,196,43,21.90%,16.70%,28.20%,,,,,,,,,
E02000470,Havering 007,E09000016,Havering,225,17,7.60%,4.80%,11.80%,,194,31,16.00%,11.50%,21.80%,,,,,,,,,
E02000471,Havering 008,E09000016,Havering,201,15,7.50%,4.60%,11.90%,,211,26,12.30%,8.50%,17.40%,,,,,,,,,
E02000472,Havering 009,E09000016,Havering,344,36,10.50%,7.70%,14.10%,,261,45,17.20%,13.10%,22.30%,,,,,,,,,
E02000473,Havering 010,E09000016,Havering,316,32,10.10%,7.30%,13.90%,,284,59,20.80%,16.50%,25.90%,,,,,,,,,
E02000474,Havering 011,E09000016,Havering,338,35,10.40%,7.50%,14.10%,,241,52,21.60%,16.90%,27.20%,,,,,,,,,
E02000475,Havering 012,E09000016,Havering,279,31,11.10%,7.90%,15.30%,,212,47,22.20%,17.10%,28.20%,,,,,,,,,
E02000476,Havering 013,E09000016,Havering,308,29,9.40%,6.60%,13.20%,,189,39,20.60%,15.50%,27.00%,,,,,,,,,
E02000477,Havering 014,E09000016,Havering,299,24,8.00%,5.50%,11.70%,,288,48,16.70%,12.80%,21.40%,,,,,,,,,
E02000478,Havering 015,E09000016,Havering,89,8,9.00%,4.60%,16.70%,,114,20,17.50%,11.70%,25.60%,,,,,,,,,
E02000479,Havering 016,E09000016,Havering,295,31,10.50%,7.50%,14.50%,,225,53,23.60%,18.50%,29.50%,,,,,,,,,
E02000480,Havering 017,E09000016,Havering,399,32,8.00%,5.70%,11.10%,,298,57,19.10%,15.10%,24.00%,,,,,,,,,
E02000481,Havering 018,E09000016,Havering,201,16,8.00%,5.00%,12.50%,,242,49,20.20%,15.70%,25.80%,,,,,,,,,
E02000482,Havering 019,E09000016,Havering,173,12,6.90%,4.00%,11.70%,,210,35,16.70%,12.20%,22.30%,,,,,,,,,
E02000483,Havering 020,E09000016,Havering,218,24,11.00%,7.50%,15.90%,,209,34,16.30%,11.90%,21.90%,,,,,,,,,
E02000484,Havering 021,E09000016,Havering,261,10,3.80%,2.10%,6.90%,,225,45,20.00%,15.30%,25.70%,,,,,,,,,
E02000485,Havering 022,E09000016,Havering,267,28,10.50%,7.40%,14.70%,,205,42,20.50%,15.50%,26.50%,,,,,,,,,
E02000486,Havering 023,E09000016,Havering,188,25,13.30%,9.20%,18.90%,,208,39,18.80%,14.00%,24.60%,,,,,,,,,
E02000487,Havering 024,E09000016,Havering,213,14,6.60%,4.00%,10.70%,,253,30,11.90%,8.40%,16.40%,,,,,,,,,
E02000488,Havering 025,E09000016,Havering,216,26,12.00%,8.30%,17.10%,,179,31,17.30%,12.50%,23.50%,,,,,,,,,
E02000489,Havering 026,E09000016,Havering,257,27,10.50%,7.30%,14.90%,,246,51,20.70%,16.10%,26.20%,,,,,,,,,
E02000490,Havering 027,E09000016,Havering,249,28,11.20%,7.90%,15.80%,,252,66,26.20%,21.10%,31.90%,,,,,,,,,
E02000491,Havering 028,E09000016,Havering,364,43,11.80%,8.90%,15.50%,,313,70,22.40%,18.10%,27.30%,,,,,,,,,
E02000492,Havering 029,E09000016,Havering,189,25,13.20%,9.10%,18.80%,,161,37,23.00%,17.20%,30.10%,,,,,,,,,
E02000493,Havering 030,E09000016,Havering,268,37,13.80%,10.20%,18.40%,,227,56,24.70%,19.50%,30.70%,,,,,,,,,
E02000494,Hillingdon 001,E09000017,Hillingdon,126,6,4.80%,2.20%,10.00%,,96,13,13.50%,8.10%,21.80%,,,,,,,,,
E02000495,Hillingdon 002,E09000017,Hillingdon,283,19,6.70%,4.30%,10.20%,,212,41,19.30%,14.60%,25.20%,,,,,,,,,
E02000496,Hillingdon 003,E09000017,Hillingdon,289,29,10.00%,7.10%,14.00%,,200,37,18.50%,13.70%,24.50%,,,,,,,,,
E02000497,Hillingdon 004,E09000017,Hillingdon,313,23,7.30%,4.90%,10.80%,,245,43,17.60%,13.30%,22.80%,,,,,,,,,
E02000498,Hillingdon 005,E09000017,Hillingdon,222,13,5.90%,3.50%,9.80%,,167,23,13.80%,9.40%,19.80%,,,,,,,,,
E02000499,Hillingdon 006,E09000017,Hillingdon,211,16,7.60%,4.70%,12.00%,,230,28,12.20%,8.60%,17.00%,,,,,,,,,
E02000500,Hillingdon 007,E09000017,Hillingdon,245,15,6.10%,3.70%,9.90%,,197,22,11.20%,7.50%,16.30%,,,,,,,,,
E02000501,Hillingdon 008,E09000017,Hillingdon,276,24,8.70%,5.90%,12.60%,,276,48,17.40%,13.40%,22.30%,,,,,,,,,
E02000502,Hillingdon 009,E09000017,Hillingdon,301,19,6.30%,4.10%,9.60%,,225,35,15.60%,11.40%,20.90%,,,,,,,,,
E02000503,Hillingdon 010,E09000017,Hillingdon,314,23,7.30%,4.90%,10.80%,,297,49,16.50%,12.70%,21.10%,,,,,,,,,
E02000504,Hillingdon 011,E09000017,Hillingdon,265,13,4.90%,2.90%,8.20%,,206,20,9.70%,6.40%,14.50%,,,,,,,,,
E02000506,Hillingdon 013,E09000017,Hillingdon,165,16,9.70%,6.10%,15.20%,,205,34,16.60%,12.10%,22.30%,,,,,,,,,
E02000507,Hillingdon 014,E09000017,Hillingdon,346,23,6.60%,4.50%,9.80%,,310,59,19.00%,15.10%,23.80%,,,,,,,,,
E02000508,Hillingdon 015,E09000017,Hillingdon,232,18,7.80%,5.00%,11.90%,,178,31,17.40%,12.50%,23.70%,,,,,,,,,
E02000509,Hillingdon 016,E09000017,Hillingdon,270,36,13.30%,9.80%,17.90%,,211,43,20.40%,15.50%,26.30%,,,,,,,,,
E02000510,Hillingdon 017,E09000017,Hillingdon,323,35,10.80%,7.90%,14.70%,,274,45,16.40%,12.50%,21.30%,,,,,,,,,
E02000511,Hillingdon 018,E09000017,Hillingdon,394,44,11.20%,8.40%,14.70%,,376,76,20.20%,16.50%,24.60%,,,,,,,,,
E02000512,Hillingdon 019,E09000017,Hillingdon,321,36,11.20%,8.20%,15.10%,,301,58,19.30%,15.20%,24.10%,,,,,,,,,
E02000513,Hillingdon 020,E09000017,Hillingdon,553,59,10.70%,8.40%,13.50%,,343,85,24.80%,20.50%,29.60%,,,,,,,,,
E02000514,Hillingdon 021,E09000017,Hillingdon,523,62,11.90%,9.40%,14.90%,,389,103,26.50%,22.30%,31.10%,,,,,,,,,
E02000515,Hillingdon 022,E09000017,Hillingdon,454,44,9.70%,7.30%,12.80%,,287,58,20.20%,16.00%,25.20%,,,,,,,,,
E02000516,Hillingdon 023,E09000017,Hillingdon,423,45,10.60%,8.00%,13.90%,,306,76,24.80%,20.30%,30.00%,,,,,,,,,
E02000517,Hillingdon 024,E09000017,Hillingdon,514,51,9.90%,7.60%,12.80%,,359,80,22.30%,18.30%,26.90%,,,,,,,,,
E02000518,Hillingdon 025,E09000017,Hillingdon,382,47,12.30%,9.40%,16.00%,,321,85,26.50%,22.00%,31.60%,,,,,,,,,
E02000519,Hillingdon 026,E09000017,Hillingdon,433,53,12.20%,9.50%,15.70%,,340,75,22.10%,18.00%,26.80%,,,,,,,,,
E02000520,Hillingdon 027,E09000017,Hillingdon,598,54,9.00%,7.00%,11.60%,,448,112,25.00%,21.20%,29.20%,,,,,,,,,
E02000521,Hillingdon 028,E09000017,Hillingdon,530,59,11.10%,8.70%,14.10%,,406,81,20.00%,16.40%,24.10%,,,,,,,,,
E02000522,Hillingdon 029,E09000017,Hillingdon,424,34,8.00%,5.80%,11.00%,,274,64,23.40%,18.70%,28.70%,,,,,,,,,
E02000523,Hillingdon 030,E09000017,Hillingdon,487,48,9.90%,7.50%,12.80%,,398,92,23.10%,19.20%,27.50%,,,,,,,,,
E02000524,Hillingdon 031,E09000017,Hillingdon,229,25,10.90%,7.50%,15.60%,,175,49,28.00%,21.90%,35.10%,,,,,,,,,
E02000525,Hillingdon 032,E09000017,Hillingdon,466,61,13.10%,10.30%,16.50%,,298,69,23.20%,18.70%,28.30%,,,,,,,,,
E02006796,Hillingdon 033,E09000017,Hillingdon,331,33,10.00%,7.20%,13.70%,,257,48,18.70%,14.40%,23.90%,,,,,,,,,
E02000526,Hounslow 001,E09000018,Hounslow,149,7,4.70%,2.30%,9.40%,,117,12,10.30%,6.00%,17.10%,,,,,,,,,
E02000528,Hounslow 003,E09000018,Hounslow,465,60,12.90%,10.20%,16.30%,,291,73,25.10%,20.50%,30.40%,,,,,,,,,
E02000529,Hounslow 004,E09000018,Hounslow,343,39,11.40%,8.40%,15.20%,,299,80,26.80%,22.10%,32.00%,,,,,,,,,
E02000530,Hounslow 005,E09000018,Hounslow,272,19,7.00%,4.50%,10.70%,,227,53,23.30%,18.30%,29.30%,,,,,,,,,
E02000531,Hounslow 006,E09000018,Hounslow,302,29,9.60%,6.80%,13.50%,,221,41,18.60%,14.00%,24.20%,,,,,,,,,
E02000532,Hounslow 007,E09000018,Hounslow,230,21,9.10%,6.00%,13.60%,,190,35,18.40%,13.60%,24.50%,,,,,,,,,
E02000533,Hounslow 008,E09000018,Hounslow,227,16,7.00%,4.40%,11.10%,,143,19,13.30%,8.70%,19.80%,,,,,,,,,
E02000534,Hounslow 009,E09000018,Hounslow,293,27,9.20%,6.40%,13.10%,,186,27,14.50%,10.20%,20.30%,,,,,,,,,
E02000535,Hounslow 010,E09000018,Hounslow,453,49,10.80%,8.30%,14.00%,,396,102,25.80%,21.70%,30.30%,,,,,,,,,
E02000536,Hounslow 011,E09000018,Hounslow,351,47,13.40%,10.20%,17.40%,,310,76,24.50%,20.10%,29.60%,,,,,,,,,
E02000537,Hounslow 012,E09000018,Hounslow,295,29,9.80%,6.90%,13.80%,,199,46,23.10%,17.80%,29.40%,,,,,,,,,
E02000538,Hounslow 013,E09000018,Hounslow,402,47,11.70%,8.90%,15.20%,,286,79,27.60%,22.80%,33.10%,,,,,,,,,
E02000539,Hounslow 014,E09000018,Hounslow,472,49,10.40%,7.90%,13.50%,,352,79,22.40%,18.40%,27.10%,,,,,,,,,
E02000540,Hounslow 015,E09000018,Hounslow,390,40,10.30%,7.60%,13.70%,,250,47,18.80%,14.40%,24.10%,,,,,,,,,
E02000541,Hounslow 016,E09000018,Hounslow,368,43,11.70%,8.80%,15.40%,,289,77,26.60%,21.90%,32.00%,,,,,,,,,
E02000542,Hounslow 017,E09000018,Hounslow,461,46,10.00%,7.60%,13.10%,,338,97,28.70%,24.10%,33.70%,,,,,,,,,
E02000543,Hounslow 018,E09000018,Hounslow,537,59,11.00%,8.60%,13.90%,,314,66,21.00%,16.90%,25.90%,,,,,,,,,
E02000544,Hounslow 019,E09000018,Hounslow,278,27,9.70%,6.80%,13.80%,,246,40,16.30%,12.20%,21.40%,,,,,,,,,
E02000545,Hounslow 020,E09000018,Hounslow,343,36,10.50%,7.70%,14.20%,,250,55,22.00%,17.30%,27.50%,,,,,,,,,
E02000546,Hounslow 021,E09000018,Hounslow,431,55,12.80%,9.90%,16.20%,,373,95,25.50%,21.30%,30.10%,,,,,,,,,
E02000547,Hounslow 022,E09000018,Hounslow,417,45,10.80%,8.20%,14.10%,,302,89,29.50%,24.60%,34.80%,,,,,,,,,
E02000548,Hounslow 023,E09000018,Hounslow,419,49,11.70%,9.00%,15.10%,,293,75,25.60%,20.90%,30.90%,,,,,,,,,
E02000549,Hounslow 024,E09000018,Hounslow,435,69,15.90%,12.70%,19.60%,,331,79,23.90%,19.60%,28.70%,,,,,,,,,
E02000550,Hounslow 025,E09000018,Hounslow,510,76,14.90%,12.10%,18.30%,,382,89,23.30%,19.30%,27.80%,,,,,,,,,
E02000551,Hounslow 026,E09000018,Hounslow,414,47,11.40%,8.60%,14.80%,,339,97,28.60%,24.10%,33.60%,,,,,,,,,
E02000552,Hounslow 027,E09000018,Hounslow,396,48,12.10%,9.30%,15.70%,,245,72,29.40%,24.00%,35.40%,,,,,,,,,
E02000553,Hounslow 028,E09000018,Hounslow,257,43,16.70%,12.70%,21.80%,,200,46,23.00%,17.70%,29.30%,,,,,,,,,
E02006792,Hounslow 029,E09000018,Hounslow,222,13,5.90%,3.50%,9.80%,,108,19,17.60%,11.60%,25.80%,,,,,,,,,
E02000554,Islington 001,E09000019,Islington,309,34,11.00%,8.00%,15.00%,,241,60,24.90%,19.90%,30.70%,,,,,,,,,
E02000555,Islington 002,E09000019,Islington,269,12,4.50%,2.60%,7.60%,,227,37,16.30%,12.10%,21.70%,,,,,,,,,
E02000556,Islington 003,E09000019,Islington,279,24,8.60%,5.80%,12.50%,,194,52,26.80%,21.10%,33.40%,,,,,,,,,
E02000557,Islington 004,E09000019,Islington,206,24,11.70%,8.00%,16.70%,,185,29,15.70%,11.10%,21.60%,,,,,,,,,
E02000558,Islington 005,E09000019,Islington,355,47,13.20%,10.10%,17.20%,,271,70,25.80%,21.00%,31.40%,,,,,,,,,
E02000559,Islington 006,E09000019,Islington,276,32,11.60%,8.30%,15.90%,,169,24,14.20%,9.70%,20.30%,,,,,,,,,
E02000560,Islington 007,E09000019,Islington,136,13,9.60%,5.70%,15.70%,,93,23,24.70%,17.10%,34.40%,,,,,,,,,
E02000561,Islington 008,E09000019,Islington,206,10,4.90%,2.70%,8.70%,,134,15,11.20%,6.90%,17.60%,,,,,,,,,
E02000562,Islington 009,E09000019,Islington,203,13,6.40%,3.80%,10.60%,,177,33,18.60%,13.60%,25.00%,,,,,,,,,
E02000563,Islington 010,E09000019,Islington,229,27,11.80%,8.20%,16.60%,,220,62,28.20%,22.70%,34.50%,,,,,,,,,
E02000564,Islington 011,E09000019,Islington,211,27,12.80%,8.90%,18.00%,,208,44,21.20%,16.20%,27.20%,,,,,,,,,
E02000565,Islington 012,E09000019,Islington,236,31,13.10%,9.40%,18.00%,,225,61,27.10%,21.70%,33.30%,,,,,,,,,
E02000566,Islington 013,E09000019,Islington,177,15,8.50%,5.20%,13.50%,,144,31,21.50%,15.60%,28.90%,,,,,,,,,
E02000567,Islington 014,E09000019,Islington,203,27,13.30%,9.30%,18.70%,,216,40,18.50%,13.90%,24.20%,,,,,,,,,
E02000568,Islington 015,E09000019,Islington,249,28,11.20%,7.90%,15.80%,,227,69,30.40%,24.80%,36.70%,,,,,,,,,
E02000569,Islington 016,E09000019,Islington,291,29,10.00%,7.00%,13.90%,,198,57,28.80%,22.90%,35.50%,,,,,,,,,
E02000570,Islington 017,E09000019,Islington,131,14,10.70%,6.50%,17.10%,,112,23,20.50%,14.10%,28.90%,,,,,,,,,
E02000571,Islington 018,E09000019,Islington,218,24,11.00%,7.50%,15.90%,,186,32,17.20%,12.50%,23.30%,,,,,,,,,
E02000572,Islington 019,E09000019,Islington,287,42,14.60%,11.00%,19.20%,,237,51,21.50%,16.80%,27.20%,,,,,,,,,
E02000573,Islington 020,E09000019,Islington,158,6,3.80%,1.80%,8.00%,,97,24,24.70%,17.20%,34.20%,,,,,,,,,
E02000574,Islington 021,E09000019,Islington,113,15,13.30%,8.20%,20.80%,,111,25,22.50%,15.70%,31.10%,,,,,,,,,
E02000575,Islington 022,E09000019,Islington,240,25,10.40%,7.20%,14.90%,,154,33,21.40%,15.70%,28.60%,,,,,,,,,
E02000576,Islington 023,E09000019,Islington,285,38,13.30%,9.90%,17.80%,,234,55,23.50%,18.50%,29.30%,,,,,,,,,
E02000577,Kensington and Chelsea 001,E09000020,Kensington and Chelsea,232,30,12.90%,9.20%,17.90%,,266,53,19.90%,15.60%,25.10%,,,,,,,,,
E02000578,Kensington and Chelsea 002,E09000020,Kensington and Chelsea,197,23,11.70%,7.90%,16.90%,,200,50,25.00%,19.50%,31.40%,,,,,,,,,
